fiscalYear,fiscalPeriod,department,division,merchant,category,creationDate,amount
2016,1,DEPT OF STATE,HUMAN RELATIONSCOMM FOR WOMEN,C/B GROUP REVERSAL,INTERNAL TRANSACTION,04/02/2015,105.73
2016,1,DEL TECH AND COMM COLLEGE,DTCC - OFFICE OF THE PRESIDENT,CA PUCCINO,EATING PLACES RESTAURANTS,05/27/2015,3.79
2016,1,DEPT OF HEALTH AND SOCIAL SV,GOVERNOR BACON HOSPITAL,CHARGEBACK CREDIT,INTERNAL TRANSACTION,05/29/2015,-1678.57
2016,1,LEGAL,OFFICE OF ATTORNEY GENERAL,DOJ INTERNAL TRANSACTION,LODGING,06/16/2015,1521.00
2016,1,LEGAL,OFFICE OF ATTORNEY GENERAL,DOJ INTERNAL TRANSACTION,LODGING,06/16/2015,1522.00
2016,1,KUUMBA ACADEMY CHARTER SCHOOL,KUUMBA ACADEMY CHARTER SCHOOL,SQ *GO APE TREETOP ADVEN,MISCELLANEOUS AND SPECIALTY RETAIL STORES,06/22/2015,-450.00
2016,1,COLONIAL SCHOOL DISTRICT,COLONIAL SCHOOL DISTRICT,RADISSON HOTELS,LODGING,06/23/2015,-1355.93
2016,1,DEPT OF TRANSPORTATION,MAINTENANCE DISTRICTS,BURKE EQUIPMENT,COMMERCIAL EQUIPMENT NOT ELSEWHERE CLASSIFIED,06/23/2015,63.54
2016,1,KUUMBA ACADEMY CHARTER SCHOOL,KUUMBA ACADEMY CHARTER SCHOOL,N C T M,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,06/23/2015,-365.00
2016,1,DEPT OF CORRECTIONS,DELAWARE CORRECTIONAL INDUSTRI,WB MASON,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,06/24/2015,3258.88
2016,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PATS PIZZA IN WEST DOVER,EATING PLACES RESTAURANTS,06/24/2015,77.31
2016,1,DEPT OF HEALTH AND SOCIAL SV,SUBSTANCE ABUSE,S AND S WORLDWIDE,NONDURABLE GOODS NOT ELSEWHERE CLASSIFIED,06/24/2015,1113.76
